segmento;indice_test;Fecha;precio_real;precio_pred;valor_escalado_real;valor_escalado_pred;Maximo_historico_alcanzado;Precio_apertura_del_dia;Precio_cierre_del_dia;Precio_cierre_promedio_diario;Promedio_volumen_transado;Rango_del_dia;Recuento_volumen_por_dia;Suma_apertura_por_dia;Suma_cierre_por_dia;Volumen_promedio_diario,
backtest;237;;645.49;587.06744;0.524899467;0.47695318;;;;;;;;;;,
backtest;238;;636.5;600.02295;0.517521543;0.4875855;;;;;;;;;;,
backtest;239;;614.47;605.5453;0.499441937;0.4921176;;;;;;;;;;,
backtest;240;;606.85;597.73816;0.493188346;0.48571044;;;;;;;;;;,
backtest;241;;614.42;586.0785;0.499400903;0.47614157;;;;;;;;;;,
backtest;242;;594.01;580.8615;0.4826508;0.4718601;;;;;;;;;;,
backtest;243;;610.61;571.61237;0.496274108;0.4642695;;;;;;;;;;,
backtest;244;;619.12;572.1341;0.503258104;0.46469766;;;;;;;;;;,
backtest;245;;615.27;578.9616;0.500098482;0.47030085;;;;;;;;;;,
backtest;246;;611.07;583.8377;0.496651621;0.47430262;;;;;;;;;;,
backtest;247;;612.99;585.0075;0.498227329;0.4752626;;;;;;;;;;,
backtest;248;;600.38;585.6086;0.487878539;0.47575593;;;;;;;;;;,
backtest;249;;593.47;580.829;0.482207632;0.4718334;;;;;;;;;;,
backtest;250;;574.05;573.8225;0.466270004;0.4660833;;;;;;;;;;,
backtest;251;;578.34;561.3918;0.469790726;0.45588166;;;;;;;;;;,
backtest;252;;580.92;554.37476;0.471908084;0.45012292;;;;;;;;;;,
backtest;253;;592.49;552.92615;0.481403365;0.44893408;;;;;;;;;;,
backtest;254;;570.63;558.57965;0.463463275;0.45357376;;;;;;;;;;,
backtest;255;;572.25;555.5679;0.464792778;0.45110208;;;;;;;;;;,
backtest;256;;550.34;552.34766;0.446811654;0.4484593;;;;;;;;;;,
backtest;257;;546.61;541.70844;0.443750513;0.4397279;;;;;;;;;;,
backtest;258;;569.72;531.9194;0.462716455;0.43169418;;;;;;;;;;,
backtest;259;;566.62;535.54834;0.460172343;0.43467245;;;;;;;;;;,
backtest;260;;560.63;540.3246;0.455256463;0.4385922;;;;;;;;;;,
backtest;261;;562.63;541.41016;0.456897825;0.4394831;;;;;;;;;;,
backtest;262;;584.5;541.881;0.474846122;0.4398695;;;;;;;;;;,
backtest;263;;599.67;550.52405;0.487295856;0.44696268;;;;;;;;;;,
backtest;264;;624.48;563.6427;0.507656955;0.45772892;;;;;;;;;;,
backtest;265;;625.91;582.23627;0.508830529;0.4729883;;;;;;;;;;,
backtest;266;;628;594.8974;0.510545753;0.4833791;;;;;;;;;;,
backtest;267;;619.52;601.0521;0.503586377;0.48843014;;;;;;;;;;,
backtest;268;;649.78;598.7805;0.528420189;0.48656586;;;;;;;;;;,
backtest;269;;650.58;606.3468;0.529076734;0.49277538;;;;;;;;;;,
backtest;270;;671.13;613.16425;0.545941732;0.4983703;;;;;;;;;;,
backtest;271;;678.79;624.8748;0.552228149;0.50798094;;;;;;;;;;,
backtest;272;;703.13;635.83636;0.572203529;0.5169769;;;;;;;;;;,
backtest;273;;704.76;651.4649;0.573541239;0.5298029;;;;;;;;;;,
backtest;274;;698.28;662.2265;0.568223225;0.5386348;;;;;;;;;;,
backtest;275;;694.33;664.40424;0.564981535;0.540422;;;;;;;;;;,
backtest;276;;697;661.349;0.567172753;0.53791463;;;;;;;;;;,
backtest;277;;713.01;658.7776;0.580311859;0.53580433;;;;;;;;;;,
backtest;278;;720.75;663.4893;0.586663931;0.5396711;;;;;;;;;;,
backtest;279;;711.54;671.3143;0.579105458;0.5460929;;;;;;;;;;,
backtest;280;;712.41;673.3976;0.57981945;0.5478027;;;;;;;;;;,
backtest;281;;746.29;673.60785;0.607624128;0.54797524;;;;;;;;;;,
backtest;282;;745.55;686.5532;0.607016824;0.55859923;;;;;;;;;;,
backtest;283;;737.09;697.3006;0.600073861;0.5674194;;;;;;;;;;,
backtest;284;;755.47;699.86;0.615157981;0.5695199;;;;;;;;;;,
backtest;285;;762.29;706.20953;0.620755027;0.5747308;;;;;;;;;;,
backtest;286;;768.22;713.31445;0.625621666;0.5805617;;;;;;;;;;,
backtest;287;;761.24;719.84906;0.619893311;0.5859245;;;;;;;;;;,
backtest;288;;799.4;720.61444;0.651210505;0.5865527;;;;;;;;;;,
backtest;289;;801.07;734.224;0.652581042;0.59772176;;;;;;;;;;,
backtest;290;;800.1;746.02826;0.651784982;0.6074093;;;;;;;;;;,
backtest;291;;808.48;752.0368;0.65866229;0.6123404;;;;;;;;;;,
backtest;292;;819.48;756.9878;0.667689783;0.6164036;;;;;;;;;;,
backtest;293;;827.94;763.4721;0.674632745;0.62172514;;;;;;;;;;,
backtest;294;;814.87;770.6718;0.663906442;0.6276338;;;;;;;;;;,
backtest;295;;796.11;769.7624;0.648510464;0.62688744;;;;;;;;;;,
backtest;296;;802.01;759.55347;0.653352483;0.6185092;;;;;;;;;;,
backtest;297;;820.5;753.16284;0.668526877;0.6132645;;;;;;;;;;,
backtest;298;;810;757.59076;0.659909725;0.6168984;;;;;;;;;;,
backtest;299;;793.66;759.2893;0.646499795;0.6182924;;;;;;;;;;,
backtest;300;;758.65;753.6747;0.617767747;0.6136846;;;;;;;;;;,
backtest;301;;726.44;734.98395;0.591333607;0.59834546;;;;;;;;;;,
backtest;302;;751.19;708.03784;0.611645466;0.5762313;;;;;;;;;;,
backtest;303;;186.12;699.9839;0.14790316;0.56962156;;;;;;;;;;,
backtest;304;;194.1;479.06543;0.154452195;0.38831797;;;;;;;;;;,
backtest;305;;195.94;293.99005;0.155962249;0.2364301;;;;;;;;;;,
backtest;306;;195.58;195.01724;0.155666803;0.15520497;;;;;;;;;;,
backtest;307;;192.94;165.29181;0.153500205;0.13080986;;;;;;;;;;,
backtest;308;;192.08;172.88623;0.152794419;0.13704246;;;;;;;;;;,
backtest;309;;195.03;193.47026;0.155215429;0.15393539;;;;;;;;;;,
backtest;310;;196.62;214.25807;0.156520312;0.17099555;;;;;;;;;;,
backtest;311;;194.99;228.61444;0.155182602;0.18277755;;;;;;;;;;,
backtest;312;;197.5;234.06154;0.157242511;0.18724789;;;;;;;;;;,
backtest;313;;198.15;233.8834;0.157775954;0.18710169;;;;;;;;;;,
backtest;314;;202.74;229.94946;0.161542881;0.18387318;;;;;;;;;;,
backtest;315;;206.37;225.8152;0.164521953;0.18048027;;;;;;;;;;,
backtest;316;;203.66;222.4117;0.162297907;0.17768708;;;;;;;;;;,
backtest;317;;202.95;217.54866;0.161715224;0.17369607;;;;;;;;;;,
backtest;318;;199.36;212.35484;0.158768978;0.16943361;;;;;;;;;;,
backtest;319;;196.99;206.50856;0.156823964;0.16463567;;;;;;;;;;,
backtest;320;;199.05;200.9931;0.158514567;0.16010924;;;;;;;;;;,
backtest;321;;201.88;198.01231;0.160837095;0.15766296;;;;;;;;;;,
backtest;322;;199.5;197.71996;0.158883874;0.15742303;;;;;;;;;;,
backtest;323;;194.58;197.15108;0.154846122;0.15695617;;;;;;;;;;,
backtest;324;;190.4;195.33199;0.151415675;0.15546326;;;;;;;;;;,
backtest;325;;197.98;192.01216;0.157636438;0.15273875;;;;;;;;;;,
backtest;326;;208.16;192.62064;0.165990973;0.15323812;;;;;;;;;;,
backtest;327;;219.58;198.17778;0.175363151;0.15779875;;;;;;;;;;,
backtest;328;;217.93;207.53218;0.174009027;0.16547574;;;;;;;;;;,
backtest;329;;222.13;213.6099;0.177455888;0.1704636;;;;;;;;;;,
backtest;330;;220.68;217.90317;0.176265901;0.17398702;;;;;;;;;;,
backtest;331;;226.36;219.15273;0.18092737;0.1750125;;;;;;;;;;,
backtest;332;;226.88;221.02197;0.181354124;0.17654656;;;;;;;;;;,
backtest;333;;223.85;222.27547;0.17886746;0.17757528;;;;;;;;;;,
backtest;334;;224.41;221.50282;0.179327041;0.17694119;;;;;;;;;;,
backtest;335;;223.96;220.58836;0.178957735;0.1761907;;;;;;;;;;,
backtest;336;;228.43;219.77531;0.18262618;0.17552345;;;;;;;;;;,
backtest;337;;226.62;221.12408;0.181140747;0.17663036;;;;;;;;;;,
